https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDC
1648771200,2022-04-01 00:00:00,BTC/USDC,45569.07089094,46709.99911026,44252.7331919,46299.47942385,1894062.89515828,41.7220945
1648684800,2022-03-31 00:00:00,BTC/USDC,47066.92669236,47605.34651128,45231.16612346,45524.83532497,3893864.81757643,83.70516146
1648598400,2022-03-30 00:00:00,BTC/USDC,47421.98281795,47709.0601604,46575.72988337,47056.45612368,2149420.00837096,45.49014142
1648512000,2022-03-29 00:00:00,BTC/USDC,47093.35543417,48159.14638504,47013.47458434,47464.96997546,3755208.40709271,78.9148462
1648425600,2022-03-28 00:00:00,BTC/USDC,46828.30000001,48191.87370591,46691.64792956,47121.07986395,4941169.62599783,103.99537845
1648339200,2022-03-27 00:00:00,BTC/USDC,44528.97557175,46955.89027405,44441.1889222,46852.42995225,2034675.178299,44.57702028
1648252800,2022-03-26 00:00:00,BTC/USDC,44326.76226101,44791.67791056,44110.76562079,44543.88224776,818043.43558154,18.43644319
1648166400,2022-03-25 00:00:00,BTC/USDC,44004.56473825,45134.77014633,43632.99781847,44324.54553581,2259993.07088913,51.02587713
1648080000,2022-03-24 00:00:00,BTC/USDC,42939.08628438,44239.06046543,42642.0,44023.05559625,4891033.01500894,112.8551715
1647993600,2022-03-23 00:00:00,BTC/USDC,42367.1912652,43006.28596193,41777.56108819,42913.03889057,3484812.42159602,82.47336294
1647907200,2022-03-22 00:00:00,BTC/USDC,40984.09013323,43347.74353218,40891.34196366,42367.1912652,5881165.27940698,138.45223282
1647820800,2022-03-21 00:00:00,BTC/USDC,41293.56264049,41559.74759312,40515.70971661,41014.23208935,2561897.21458753,62.40839141
1647734400,2022-03-20 00:00:00,BTC/USDC,42196.57186927,42302.88704521,40939.52196681,41276.32730178,2692328.76470039,64.96947507
1647648000,2022-03-19 00:00:00,BTC/USDC,41782.62198834,42398.81503245,41557.88780196,42240.83480468,2298675.45741178,54.85989694
1647561600,2022-03-18 00:00:00,BTC/USDC,40930.17603219,42387.6437393,40177.30000001,41789.64359343,3735025.58768908,91.15134285
1647475200,2022-03-17 00:00:00,BTC/USDC,41151.49957115,41446.46500685,40523.52007118,40940.51825602,3066445.2343448,74.91249646
1647388800,2022-03-16 00:00:00,BTC/USDC,39284.57633278,41692.42261633,38900.0,41128.00115957,8372435.88316392,207.72291704
1647302400,2022-03-15 00:00:00,BTC/USDC,39677.55657721,39888.6,38186.34792691,39309.7777278,2504591.92630684,64.04444871
1647216000,2022-03-14 00:00:00,BTC/USDC,37777.16739039,39920.89565724,37591.01029465,39681.16977185,2799460.80231981,71.80227822
1647129600,2022-03-13 00:00:00,BTC/USDC,38816.34292871,39300.0,37599.49731245,37781.64313925,2479272.80091728,64.1285686
1647043200,2022-03-12 00:00:00,BTC/USDC,38728.47764052,39451.83806264,38677.86667861,38803.6785742,1415475.51899934,36.21591676
1646956800,2022-03-11 00:00:00,BTC/USDC,39395.39330386,40219.22187948,38243.68905194,38725.34788949,1643490.72212284,42.17491195
1646870400,2022-03-10 00:00:00,BTC/USDC,41992.13585053,42037.62076522,38569.89714563,39436.32338632,3960186.32940374,99.82514447
1646784000,2022-03-09 00:00:00,BTC/USDC,38713.50924352,42563.6614115,38664.38429266,41953.24609991,2966176.3031738,71.62545286
1646697600,2022-03-08 00:00:00,BTC/USDC,38041.75138303,39366.41733608,37881.24873106,38745.40464416,2432236.65320175,62.95850732
1646611200,2022-03-07 00:00:00,BTC/USDC,38400.34468984,39522.38077395,37197.85996276,37999.20061963,2641962.99230374,68.98181751
